등번호,이름
0,곽도규
,박정우
1,박찬호
2,박민
03,박건우
3,김선빈
4,유지성
5,김도영
05,박상준
06,장민기
6,홍종표
07,오정환
08,예진원
8,이창진
9,윤도현
09,이영재
10,김태형
11,조상우
12,김두현
13,윤영철
013,강민제
14,김규성
15,박정우
015,이도현
16,최원준
016,정해원
17,임기영
19,윤중현
20,이준영
21,김사윤
021,홍원빈
22,주효상
23,최정용
24,김승현
25,이우성
26,한승택
27,김호령
28,이형범
028,최건희
029,나연우
29,변우혁
030,임다온
31,박준표
031,엄준현
32,김현수
032,이성원
33,올러
34,최형우
35,김석환
36,박재현
036,박헌
38,장재혁
39,최지민
40,네일
41,황동하
042,신명승
42,김태군
43,김건국
44,이상준
45,위즈덤
46,김정엽
47,나성범
48,이의리
49,김민주
050,조대현
50,유승철
51,전상현
52,황대인
53,김기훈
54,양현종
55,한준수
56,오선우
57,고종욱
58,서건창
59,양수호
60,김도현
61,김민재
62,정해영
63,이호민
69,김대유
