등번호,이름
0,황성빈
1,한현희
2,고승민
3,신윤후
5,조세진
6,손성빈
7,장두성
8,전준우
9,정훈
12,신병률
13,전민재
14,최항
15,김진욱
16,김민성
17,현도훈
19,김강현
21,박세웅
22,구승민
23,심재민
24,김상수
25,박시영
26,진승현
27,유강남
28,반즈
29,레이예스
30,이호준
31,진해수
33,손호영
34,김원중
35,서동욱
36,데이비슨
37,이민석
38,홍민기
39,강승구
40,박진형
42,정보근
43,나균안
44,박진
45,이병준
46,정우준
48,이정훈
50,김동혁
51,나승엽
52,노진혁
53,박승욱
54,이인한
55,윤성빈
56,최준용
57,정현수
58,박준우
59,송재영
60,한태양
62,백두산
63,박재엽
65,정철원
66,김태현
67,강성우
68,박세현
91,윤동희
101,김현우
102,김동현
103,이영재
104,조영우
105,최민규
106,한승현
107,김태균
108,박지훈
109,박건우
110,박준기
111,이태경
112,유태웅
113,이상화
114,오창현
115,정선우
116,이주찬
119,김세민
121,김동규
122,배세종
123,엄장윤
124,김도규
