등번호,이름
0,디아즈
1,이호성
2,김재성
3,최원태
4,육선엽
5,구자욱
6,강한울
7,이재현
8,김재혁
9,공민규
11,최지광
12,김민수
13,이성규
14,안주형
15,이상민
16,류지혁
17,김대우
18,원태인
19,양현
20,이승현
21,오승환
23,이병헌
24,김도환
25,김태훈
26,이재익
27,김태훈
28,이승민
29,백정현
30,김영웅
31,윤정빈
32,김헌곤
34,전병우
35,차승준
37,최하늘
38,심재훈
39,김성윤
40,함수호
41,권현우
42,양창섭
43,레예스
44,김대호
45,임창민
46,송은범
47,강민호
48,김윤수
50,이창용
51,최충연
52,박병호
53,양우현
54,최성훈
55,배찬승
56,이해승
57,이승현
58,김지찬
59,이재희
60,김호진
61,황동재
62,김재윤
63,홍현빈
65,홍원표
68,양도근
75,후라도
101,박주혁
102,유병선
103,오현석
104,주한울
106,차동영
107,박승규
108,김태근
109,최예한
110,신경민
111,박진우
112,홍준영
113,박준용
114,천겸
115,진희성
117,이진용
118,이현준
119,김유현
120,김백산
122,김성경
123,김동현
125,김상준
127,강민성
128,우승완
148,정민성
