등번호,이름,포지션
0,박주성,투수
1,김태진,야수
2,이주형,야수
4,카디네스,야수
5,이재상,야수
6,임병욱,야수
8,김성민,투수
9,변상권,야수
10,김웅빈,야수
12,김건희,야수
13,정현우,투수
14,박수종,야수
15,이용규,야수
17,이원석,야수
18,장필준,투수
19,김윤하,투수
20,조영건,투수
22,로젠버그,투수
23,김병휘,야수
24,송성문,야수
25,주성원,야수
27,강진성,야수
29,임지열,야수
30,주승우,투수
31,오석주,투수
32,김재현,야수
33,원성준,야수
35,박윤성,투수
36,이형종,야수
37,이강준,투수
38,김동엽,야수
44,고영우,야수
45,박범준,투수
46,원종현,투수
47,김동헌,야수
48,이종민,투수
49,김선기,투수
50,하영민,투수
53,최주환,야수
55,양지율,투수
56,박성빈,야수
57,박주홍,야수
58,이주형,야수
59,김서준,투수
60,오선진,야수
61,장재영,야수
62,전준표,투수
63,손현기,투수
66,푸이그,야수
67,김인범,투수
68,김연주,투수
70,양현종,야수
71,권혁빈,야수
92,어준서,야수
93,여동욱,야수
94,박정훈,투수
96,윤현,투수
97,전태현,야수
99,김동규,투수
