등번호,이름
0,박주성
1,김태진
2,이주형
4,카디네스
5,이재상
6,임병욱
8,김성민
9,변상권
10,김웅빈
11,이강준
12,김건희
13,정현우
14,박수종
15,이용규
17,이원석
18,장필준
19,김윤하
20,조영건
22,로젠버그
23,김병휘
24,송성문
25,주성원
26,이승원
27,강진성
29,임지열
30,주승우
31,오석주
32,김재현
33,원성준
35,박윤성
36,이형종
38,김동엽
39,염승원
43,조성훈
44,고영우
45,박범준
46,원종현
47,김동헌
48,이종민
49,김선기
50,하영민
53,최주환
55,양지율
56,박성빈
57,박주홍
58,이주형
59,김서준
60,오선진
61,장재영
62,전준표
63,손현기
66,푸이그
67,김인범
68,김연주
69,김주훈
70,양현종
71,권혁빈
77,정세영
82,임진묵
83,오혜성
85,정동준
92,어준서
93,여동욱
94,박정훈
96,윤현
97,전태현
98,서유신
99,김동규
100,손힘찬
101,이준우
102,이우석
