날짜,팀,기록,기록값
2025-03-28,KIA,GDP,1
2025-03-28,KIA,H,8
2025-03-28,KIA,HR,1
2025-03-28,KIA,R,2
2025-03-28,KIA,SO,11
2025-03-28,KIA,경기결과,L
2025-03-28,KIA,도루,0
2025-03-28,KIA,사구,3
2025-03-28,KIA,실책,1
2025-03-28,KT,GDP,0
2025-03-28,KT,H,7
2025-03-28,KT,HR,0
2025-03-28,KT,R,2
2025-03-28,KT,SO,8
2025-03-28,KT,경기결과,W
2025-03-28,KT,도루,0
2025-03-28,KT,사구,3
2025-03-28,KT,실책,3
2025-03-28,LG,GDP,1
2025-03-28,LG,H,11
2025-03-28,LG,HR,1
2025-03-28,LG,R,8
2025-03-28,LG,SO,8
2025-03-28,LG,경기결과,W
2025-03-28,LG,도루,0
2025-03-28,LG,사구,9
2025-03-28,LG,실책,0
2025-03-28,NC,GDP,1
2025-03-28,NC,H,9
2025-03-28,NC,HR,0
2025-03-28,NC,R,4
2025-03-28,NC,SO,10
2025-03-28,NC,경기결과,L
2025-03-28,NC,도루,1
2025-03-28,NC,사구,5
2025-03-28,NC,실책,2
2025-03-28,SSG,GDP,0
2025-03-28,SSG,H,7
2025-03-28,SSG,HR,1
2025-03-28,SSG,R,3
2025-03-28,SSG,SO,10
2025-03-28,SSG,경기결과,L
2025-03-28,SSG,도루,0
2025-03-28,SSG,사구,1
2025-03-28,SSG,실책,4
2025-03-28,두산,GDP,1
2025-03-28,두산,H,4
2025-03-28,두산,HR,0
2025-03-28,두산,R,2
2025-03-28,두산,SO,11
2025-03-28,두산,경기결과,W
2025-03-28,두산,도루,0
2025-03-28,두산,사구,1
2025-03-28,두산,실책,0
2025-03-28,롯데,GDP,0
2025-03-28,롯데,H,4
2025-03-28,롯데,HR,0
2025-03-28,롯데,R,0
2025-03-28,롯데,SO,9
2025-03-28,롯데,경기결과,L
2025-03-28,롯데,도루,0
2025-03-28,롯데,사구,1
2025-03-28,롯데,실책,0
2025-03-28,삼성,GDP,1
2025-03-28,삼성,H,6
2025-03-28,삼성,HR,0
2025-03-28,삼성,R,0
2025-03-28,삼성,SO,6
2025-03-28,삼성,경기결과,L
2025-03-28,삼성,도루,0
2025-03-28,삼성,사구,2
2025-03-28,삼성,실책,0
2025-03-28,키움,GDP,0
2025-03-28,키움,H,11
2025-03-28,키움,HR,1
2025-03-28,키움,R,9
2025-03-28,키움,SO,10
2025-03-28,키움,경기결과,W
2025-03-28,키움,도루,0
2025-03-28,키움,사구,4
2025-03-28,키움,실책,1
2025-03-28,한화,GDP,1
2025-03-28,한화,H,7
2025-03-28,한화,HR,1
2025-03-28,한화,R,7
2025-03-28,한화,SO,7
2025-03-28,한화,경기결과,W
2025-03-28,한화,도루,3
2025-03-28,한화,사구,7
2025-03-28,한화,실책,1
