팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
한화,1,김태연,LF,4,4,0,0,0,0,0,0,0,2,1,12,0,0,0.200,0.450,0.63,-0.064,-1.01
한화,2,문현빈,DH,4,4,0,0,0,0,0,0,0,1,2,18,0,0,0.214,0.670,0.60,-0.062,-0.88
한화,3,플로리얼,CF,4,3,0,0,0,0,1,0,1,1,1,15,0,0,0.000,0.118,0.46,-0.004,0.19
한화,4,노시환,3B,3,3,0,1,0,0,0,0,1,1,0,8,1,0,0.333,1.066,0.85,-0.059,-1.36
한화,5,채은성,1B,3,3,0,1,0,0,0,0,0,1,1,6,0,1,0.250,0.725,0.62,-0.035,0.72
한화,6,황영묵,2B,3,2,0,0,0,0,1,0,0,1,1,13,0,1,0.111,0.422,0.69,-0.031,-0.57
한화,7,임종찬,RF,3,3,0,0,0,0,0,0,2,0,1,11,0,1,0.083,0.416,0.71,-0.056,-0.88
한화,8,이재원,C,3,3,0,0,0,0,0,0,1,0,2,10,0,0,0.000,0.000,0.58,-0.044,-0.68
한화,9,심우준,SS,3,3,0,0,0,0,0,0,0,1,2,7,0,0,0.083,0.321,0.69,-0.052,-0.68
한화,팀 합계,,,30,28,0,2,0,0,2,0,5,8,11,100,1,3,0.071,0.240,1.17,-0.407,-5.15
LG,1,홍창기,RF,5,3,0,0,0,0,1,1,1,2,0,26,0,2,0.286,0.801,0.63,-0.010,0.11
LG,2,문성주,LF,5,4,0,3,0,2,0,0,0,0,2,13,0,1,0.429,0.804,0.75,0.073,0.77
LG,,최원영,"PR,LF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,3,오스틴,1B,5,4,0,1,0,0,1,0,1,1,1,18,0,3,0.313,0.952,0.54,0.007,0.32
LG,4,문보경,3B,5,3,1,1,1,1,2,0,1,1,0,25,1,4,0.500,1.825,0.75,0.022,-0.20
LG,5,오지환,SS,5,5,0,0,0,0,0,0,2,2,1,19,0,6,0.176,0.529,0.58,-0.074,-3.30
LG,6,김현수,DH,3,1,0,0,0,0,2,0,0,0,1,16,0,0,0.100,0.508,0.54,0.029,0.25
LG,,송찬의,"PH,DH",1,1,0,0,0,0,0,0,1,0,0,3,0,1,0.417,1.295,0.15,-0.003,-0.29
LG,7,박동원,C,4,3,0,1,0,0,1,0,2,0,0,19,0,1,0.357,1.042,0.62,-0.040,-0.52
LG,8,박해민,CF,4,4,1,2,0,0,0,0,1,0,1,12,0,3,0.357,0.867,0.62,-0.007,-0.55
LG,9,신민재,2B,4,3,2,2,0,1,1,0,0,0,1,20,0,2,0.750,1.550,0.80,0.097,1.95
LG,팀 합계,,,41,31,4,10,1,4,8,1,9,6,7,171,1,23,0.323,0.915,5.98,0.094,-1.46
