팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
KT,1,강백호,DH,5,5,0,1,0,0,0,0,2,0,2,19,0,4,0.214,0.598,0.89,-0.063,-0.99
KT,2,로하스,RF,4,3,0,0,0,0,1,0,2,0,1,17,0,1,0.143,0.571,1.03,-0.017,-0.22
KT,3,허경민,3B,4,4,0,0,0,0,0,0,1,1,2,12,0,2,0.370,0.851,1.15,-0.121,-1.26
KT,4,김민혁,LF,4,4,0,2,0,0,0,0,1,1,0,18,0,2,0.455,1.000,0.98,0.007,-0.20
KT,5,장성우,C,4,4,0,0,0,0,0,0,0,2,2,14,0,4,0.087,0.247,1.28,-0.130,-1.53
KT,6,천성호,2B,3,3,0,0,0,0,0,0,0,3,0,11,0,2,0.200,0.701,0.95,-0.078,-0.80
KT,,황재균,"PH,1B",1,1,1,1,0,0,0,0,0,0,0,3,0,0,0.286,0.715,0.57,0.027,0.43
KT,7,문상철,1B,4,4,1,1,0,0,0,0,1,1,1,11,0,1,0.200,0.545,0.92,-0.014,-0.39
KT,,오윤석,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.733,0.00,0.000,0.00
KT,8,배정대,CF,4,4,0,1,0,1,0,0,1,1,1,20,0,1,0.261,0.845,1.01,0.022,0.28
KT,9,김상수,SS,4,2,0,1,0,1,2,0,0,0,1,16,0,0,0.400,1.128,0.90,0.150,1.16
KT,팀 합계,,,37,34,2,7,0,2,3,0,8,9,10,141,0,17,0.206,0.564,2.42,-0.217,-3.52
롯데,1,윤동희,CF,4,4,0,0,0,0,0,0,2,2,0,18,0,2,0.158,0.518,1.82,-0.178,-1.36
롯데,2,정훈,DH,4,4,0,0,0,0,0,0,0,4,0,13,0,3,0.100,0.457,1.69,-0.142,-0.60
롯데,3,전준우,LF,4,4,0,0,0,0,0,0,0,1,3,11,0,2,0.150,0.377,1.20,-0.069,-0.68
롯데,4,레이예스,RF,4,4,0,0,0,0,0,0,0,3,1,16,0,2,0.174,0.417,1.15,-0.123,-1.03
롯데,5,나승엽,1B,4,4,0,1,0,0,0,0,3,0,0,24,0,0,0.174,0.425,0.98,-0.055,-0.59
롯데,6,손호영,3B,4,3,0,0,0,0,1,0,0,1,2,14,0,0,0.182,0.462,1.25,-0.041,-0.38
롯데,7,전민재,SS,3,3,0,0,0,0,0,0,3,0,0,14,0,0,0.200,0.517,0.78,-0.059,-0.45
롯데,,이호준,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,,조세진,PH,1,1,0,0,0,0,0,0,1,0,0,4,0,2,0.000,0.000,3.53,-0.090,-0.55
롯데,8,김민성,2B,3,3,0,2,0,0,0,0,0,1,0,7,0,0,0.667,1.334,1.37,0.092,0.28
롯데,,장두성,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,2.000,0.00,0.000,0.00
롯데,,한태양,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.500,0.00,0.000,0.00
롯데,9,유강남,C,3,2,0,1,0,0,0,0,0,0,1,9,0,2,0.375,0.819,1.97,-0.050,-0.17
롯데,,정보근,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.829,0.00,0.000,0.00
롯데,팀 합계,,,34,32,0,4,0,0,1,0,9,12,7,130,0,13,0.125,0.277,3.15,-0.715,-5.53
