팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
KIA,1,최원준,CF,5,5,0,0,0,0,0,0,2,2,1,22,0,5,0.286,0.726,1.60,-0.220,-2.28
KIA,2,서건창,2B,4,4,0,0,0,0,0,0,1,0,3,19,0,3,0.111,0.333,1.00,-0.104,-1.49
KIA,,김선빈,PH,1,1,0,0,0,0,0,0,0,1,0,5,0,1,0.417,1.000,2.80,-0.079,-0.25
KIA,3,나성범,RF,4,2,1,0,0,0,2,0,0,2,0,16,0,1,0.304,1.223,0.62,0.001,-0.13
KIA,4,최형우,DH,4,4,2,2,1,2,0,0,1,1,0,15,1,0,0.296,0.997,0.85,0.119,1.26
KIA,5,위즈덤,1B,4,2,1,1,1,1,2,0,1,0,0,15,0,0,0.250,1.217,0.65,0.121,1.82
KIA,6,이우성,LF,4,3,0,0,0,0,1,0,1,2,0,20,1,0,0.269,0.783,0.81,-0.059,-0.32
KIA,,박정우,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,1.667,0.00,0.000,0.00
KIA,7,한준수,C,4,3,0,1,0,1,0,0,0,2,1,13,0,2,0.235,0.969,0.85,0.009,-0.25
KIA,,김태군,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.450,0.00,0.000,0.00
KIA,8,홍종표,3B,3,3,0,1,0,0,0,0,2,0,0,16,0,2,0.100,0.282,0.73,-0.002,0.02
KIA,,박재현,PH,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0.000,0.250,2.87,0.115,0.45
KIA,9,김규성,SS,4,3,0,1,0,0,1,0,1,1,0,16,0,3,0.375,0.819,1.71,-0.079,-0.35
KIA,팀 합계,,,38,30,4,6,2,4,7,0,9,11,5,161,2,17,0.200,0.775,3.62,-0.178,-1.52
한화,1,황영묵,2B,5,5,1,1,0,1,0,0,2,1,0,18,0,2,0.111,0.422,1.29,-0.012,-0.01
한화,2,김태연,"1B,LF",4,3,0,0,0,1,1,0,1,1,1,16,0,1,0.200,0.606,1.30,-0.005,-0.44
한화,3,플로리얼,CF,4,4,0,1,0,0,0,0,1,1,1,18,0,2,0.120,0.401,1.36,-0.116,-0.85
한화,4,노시환,3B,4,3,0,0,0,0,1,0,0,1,2,17,0,2,0.192,0.645,1.37,-0.095,-0.68
한화,5,채은성,DH,4,3,0,2,0,1,0,1,0,0,1,18,0,0,0.286,0.804,1.74,0.218,1.72
한화,,임종찬,"PR,DH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.597,4.60,0.143,0.61
한화,6,이진영,LF,3,3,0,1,0,0,0,0,0,0,2,7,0,3,0.250,0.650,1.70,-0.062,-0.80
한화,,문현빈,PH,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0.211,0.634,3.94,0.139,0.59
한화,,이재원,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
한화,7,이원석,RF,3,3,0,0,0,0,0,0,1,1,1,8,1,1,0.000,0.000,1.49,-0.130,-1.27
한화,,이도윤,"PH,1B",1,1,1,0,0,0,0,0,0,1,0,9,0,2,0.667,2.000,3.50,-0.135,-0.69
한화,8,최재훈,C,3,2,1,1,0,0,1,0,1,0,0,13,0,0,0.300,0.717,1.03,0.046,0.55
한화,,안치홍,PH,1,1,0,1,0,2,0,0,0,0,0,2,0,0,0.100,0.200,4.20,0.320,1.05
한화,,최인호,"PR,RF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.286,0.52,0.008,0.14
한화,9,심우준,SS,4,3,1,1,0,0,0,0,1,1,0,14,0,5,0.100,0.293,1.39,0.004,0.20
한화,팀 합계,,,37,32,5,9,0,5,3,1,7,7,8,145,1,18,0.281,0.705,7.36,0.323,0.12
