팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
삼성,1,김지찬,CF,2,1,2,1,0,0,1,0,0,0,0,12,0,0,0.484,1.201,1.11,0.131,1.69
삼성,,김헌곤,RF,2,1,0,0,0,0,1,0,0,0,1,8,0,0,0.238,0.685,0.68,0.007,0.10
삼성,2,이재현,SS,2,1,0,1,0,2,1,0,0,0,0,10,0,0,0.391,1.327,1.20,0.107,1.29
삼성,,양도근,SS,2,2,0,0,0,0,0,0,1,1,0,9,0,1,0.000,0.000,0.83,-0.028,-0.35
삼성,3,구자욱,LF,4,4,0,1,0,1,0,0,0,2,1,12,0,2,0.258,0.849,1.18,-0.027,-0.50
삼성,4,강민호,C,4,4,0,1,0,0,0,0,0,1,2,16,1,2,0.241,0.692,0.93,-0.145,-2.12
삼성,5,디아즈,1B,4,4,0,0,0,0,0,0,0,1,3,11,0,2,0.226,0.694,0.62,-0.068,-0.95
삼성,6,김영웅,3B,4,4,0,0,0,0,0,0,2,2,0,15,0,0,0.400,1.039,0.71,-0.072,-1.01
삼성,7,박병호,DH,3,3,0,0,0,0,0,0,0,1,2,16,0,0,0.192,0.921,0.61,-0.045,-0.58
삼성,8,류지혁,2B,3,3,0,0,0,0,0,0,0,3,0,11,0,0,0.375,0.804,0.41,-0.032,0.62
삼성,9,김성윤,"RF,CF",3,3,1,1,0,0,0,0,0,1,1,13,0,0,0.400,1.100,0.97,0.044,0.30
삼성,팀 합계,,,33,30,3,5,0,3,3,0,3,12,10,133,1,7,0.167,0.475,1.85,-0.128,-1.51
두산,1,정수빈,CF,4,3,0,0,0,1,0,0,1,0,3,14,0,2,0.320,0.760,1.72,-0.137,-0.89
두산,2,김재환,LF,4,3,0,0,0,0,1,0,1,0,2,14,0,1,0.242,0.680,1.55,0.063,-0.18
두산,,추재현,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,3,강승호,1B,4,4,1,2,1,1,0,0,1,1,0,13,0,0,0.323,0.945,1.92,0.274,1.34
두산,4,케이브,RF,4,4,0,0,0,0,0,0,1,3,0,11,0,2,0.214,0.634,2.55,-0.164,-1.23
두산,5,양의지,DH,4,4,0,0,0,0,0,0,1,1,2,19,0,2,0.174,0.484,2.56,-0.333,-1.36
두산,6,김기연,C,3,3,0,0,0,0,0,0,1,1,1,13,0,0,0.143,0.286,0.65,-0.050,-0.38
두산,,김인태,PH,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0.400,0.800,7.23,-0.200,-0.53
두산,7,오명진,2B,3,2,0,0,0,0,1,0,1,0,0,14,0,0,0.000,0.071,1.58,0.040,-0.13
두산,8,박계범,3B,2,2,1,1,0,0,0,0,0,1,0,6,0,0,0.333,0.666,0.80,0.002,0.10
두산,,김민석,PH,1,1,0,0,0,0,0,0,1,0,0,5,0,1,0.192,0.491,3.94,-0.091,-0.45
두산,,박준영,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.499,0.00,0.000,0.00
두산,9,이유찬,"SS,3B",3,3,0,1,0,0,0,0,0,0,2,9,0,1,0.200,0.438,1.73,-0.031,0.21
두산,팀 합계,,,33,30,2,4,1,2,2,0,8,7,11,119,0,11,0.133,0.415,8.74,-0.627,-3.50
