팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
NC,1,박민우,2B,5,5,0,1,0,0,0,0,1,1,2,18,0,0,0.200,0.600,0.84,-0.106,-0.61
NC,2,김주원,SS,5,5,1,2,0,0,0,0,2,1,0,22,0,2,0.400,0.800,0.60,0.019,-0.89
NC,3,손아섭,RF,4,3,1,1,0,0,1,0,0,1,1,15,0,1,0.333,0.833,0.94,0.039,0.31
NC,,김성욱,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
NC,4,데이비슨,DH,4,3,0,0,0,0,1,0,1,1,1,13,0,1,0.000,0.250,1.52,0.021,0.12
NC,5,박건우,"CF,RF",4,4,0,1,0,2,0,0,0,3,0,12,0,0,0.250,0.750,1.70,0.193,1.19
NC,6,권희동,LF,4,2,0,0,0,0,1,1,1,1,0,21,0,0,0.000,0.500,0.86,0.019,0.11
NC,7,도태훈,1B,2,2,0,0,0,0,0,0,0,1,1,7,0,1,0.000,0.000,1.36,-0.067,-0.66
NC,,천재환,PH,1,1,0,0,0,0,0,0,1,0,0,4,0,3,0.000,0.000,2.61,-0.078,-1.15
NC,,서호철,1B,1,1,0,1,0,0,0,0,0,0,0,4,0,0,1.000,2.000,0.03,0.001,0.94
NC,8,김형준,C,3,3,0,1,0,0,0,0,2,0,0,9,0,3,0.333,0.666,1.65,-0.067,-1.28
NC,,박세혁,PH,1,1,0,0,0,0,0,0,1,0,0,5,0,1,0.000,0.000,0.07,-0.002,-0.97
NC,9,김휘집,3B,3,3,0,0,0,0,0,0,1,2,0,11,0,2,0.000,0.000,1.27,-0.098,-0.97
NC,,한재환,PH,1,1,0,0,0,0,0,0,1,0,0,4,0,1,0.000,0.000,0.02,-0.001,-0.31
NC,팀 합계,,,38,34,2,7,0,2,3,1,11,11,5,145,0,15,0.206,0.554,2.69,-0.127,-4.17
KIA,1,박찬호,SS,5,4,1,0,0,0,1,0,0,2,2,19,0,1,0.000,0.200,1.21,0.086,-0.39
KIA,2,김도영,3B,2,2,0,1,0,0,0,0,0,0,1,5,0,0,0.500,1.000,0.60,0.007,0.10
KIA,,윤도현,"PR,3B",1,1,0,0,0,0,0,0,0,1,0,2,0,0,0.000,0.000,1.57,-0.040,-0.35
KIA,,홍종표,"PH,2B",2,2,0,0,0,0,0,0,0,1,1,5,0,3,0.000,0.000,2.30,-0.137,-1.50
KIA,3,나성범,RF,4,4,1,1,0,1,0,0,2,1,0,15,1,0,0.250,0.500,1.96,0.261,0.27
KIA,,황동하,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KIA,4,위즈덤,1B,4,3,1,0,0,0,1,0,1,0,2,22,0,0,0.000,0.250,1.63,-0.039,0.09
KIA,5,최형우,DH,4,4,0,1,0,2,0,0,1,0,2,20,0,0,0.250,0.750,1.96,0.108,1.19
KIA,,박재현,"PR,CF",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KIA,6,김선빈,2B,4,3,1,2,0,2,1,0,0,1,0,15,0,0,0.667,1.417,0.66,0.014,0.56
KIA,,김규성,"PR,3B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
KIA,7,이우성,LF,3,3,0,2,0,0,0,0,0,0,1,8,0,1,0.667,1.667,0.86,0.049,0.15
KIA,,박정우,"PR,LF",1,1,1,1,0,0,0,0,0,0,0,3,0,0,1.000,3.000,0.07,0.005,1.68
KIA,8,김태군,C,2,2,0,1,0,1,0,0,0,1,0,16,0,0,0.500,1.000,1.29,0.086,0.65
KIA,,한준수,"PH,C",2,2,1,1,1,3,0,0,0,1,0,10,0,1,0.500,2.500,1.36,-0.068,0.55
KIA,9,최원준,"CF,RF",4,4,1,2,0,0,0,0,1,0,1,16,0,2,0.500,1.000,1.14,0.045,0.54
KIA,팀 합계,,,38,35,9,12,1,9,3,0,5,8,10,156,1,8,0.343,0.909,2.77,0.377,3.54
