팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
두산,1,김민석,LF,5,4,0,2,0,2,1,0,1,0,1,25,0,1,0.500,1.600,1.31,0.261,2.09
두산,2,김재환,DH,5,5,0,2,0,2,0,0,2,1,0,17,0,3,0.400,1.000,1.43,0.156,0.88
두산,3,양의지,C,5,3,0,2,0,0,2,0,1,0,0,21,0,2,0.667,1.467,1.16,0.052,0.68
두산,4,케이브,RF,5,4,0,0,0,0,1,0,2,1,1,25,0,7,0.000,0.200,1.57,-0.136,-1.71
두산,5,강승호,3B,5,4,0,0,0,0,1,0,2,1,1,21,0,2,0.000,0.200,1.52,-0.118,-0.95
두산,6,양석환,1B,5,5,1,0,0,0,0,0,2,1,2,21,0,3,0.000,0.000,1.43,-0.161,-1.34
두산,7,오명진,2B,4,4,0,0,0,0,0,0,2,0,2,16,0,2,0.000,0.000,1.03,-0.112,-1.13
두산,,이유찬,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,,김인태,PH,1,1,0,1,0,0,0,0,0,0,0,5,0,0,1.000,2.000,1.41,0.043,0.13
두산,,전다민,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
두산,8,박준영,SS,5,5,1,2,0,1,0,0,2,0,1,22,0,1,0.400,0.800,1.35,0.004,0.57
두산,9,정수빈,CF,4,1,3,0,0,0,3,0,0,0,1,20,0,1,0.000,0.750,0.92,0.036,0.26
두산,팀 합계,,,44,36,5,9,0,5,8,0,14,4,9,193,0,22,0.250,0.719,2.63,0.025,-0.52
SSG,1,최지훈,CF,5,4,0,0,0,1,0,0,1,0,4,21,0,3,0.000,0.000,1.08,-0.096,-1.29
SSG,2,정준재,2B,4,3,0,0,0,0,1,0,1,0,2,20,0,2,0.000,0.250,1.13,-0.081,-0.65
SSG,,김성현,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
SSG,3,에레디아,LF,4,4,1,1,0,0,0,0,0,1,2,11,0,1,0.250,0.500,1.14,-0.024,-0.40
SSG,4,한유섬,DH,4,4,0,1,0,0,0,0,1,0,1,16,0,1,0.250,0.500,1.10,0.025,0.00
SSG,5,이지영,C,4,2,1,1,0,0,0,1,0,1,0,8,0,2,0.500,1.167,1.63,-0.022,0.21
SSG,6,박성한,SS,4,2,2,1,0,1,1,1,0,1,0,22,0,1,0.500,1.250,1.56,0.152,1.00
SSG,7,하재훈,RF,3,3,1,1,0,1,0,0,2,0,0,14,0,3,0.333,0.666,1.70,0.035,0.47
SSG,,오태곤,"PH,1B",1,1,1,1,1,2,0,0,0,0,0,3,0,0,1.000,5.000,3.34,0.545,1.71
SSG,8,고명준,1B,4,4,0,2,0,1,0,0,1,1,0,11,0,0,0.500,1.000,1.11,0.068,0.96
SSG,,최상민,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
SSG,9,박지환,3B,4,3,0,0,0,0,1,0,1,2,0,13,0,3,0.000,0.250,0.98,-0.077,-0.93
SSG,팀 합계,,,37,30,6,8,1,6,3,2,7,6,9,139,0,16,0.267,0.728,2.11,0.525,1.08
