팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
롯데,1,윤동희,CF,4,3,0,0,0,0,1,0,0,1,2,17,0,4,0.167,0.542,1.14,-0.053,-1.07
롯데,2,손호영,3B,4,4,0,0,0,0,0,0,1,2,0,16,1,3,0.250,0.500,1.12,-0.152,-3.46
롯데,3,전준우,LF,4,4,0,0,0,0,0,0,1,2,1,14,0,0,0.167,0.542,0.30,-0.030,-1.06
롯데,4,레이예스,RF,4,3,0,1,0,0,1,0,0,1,1,15,0,0,0.429,1.071,0.34,0.027,1.06
롯데,,장두성,PR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
롯데,5,나승엽,1B,4,4,1,1,0,0,0,0,2,1,0,17,1,1,0.125,0.250,0.68,-0.088,-1.44
롯데,6,정훈,DH,4,2,0,0,0,0,2,0,0,1,1,21,0,0,0.000,0.500,0.38,0.000,1.77
롯데,7,유강남,C,2,2,0,0,0,0,0,0,1,0,1,9,0,0,0.200,0.400,0.59,-0.030,-0.46
롯데,,정보근,C,2,2,0,2,0,1,0,0,0,0,0,3,0,0,0.667,1.334,0.51,0.049,-2.86
롯데,8,고승민,2B,4,4,0,0,0,0,0,0,2,1,1,21,0,5,0.000,0.000,0.79,-0.075,1.77
롯데,9,전민재,SS,3,3,0,2,0,1,0,0,0,1,0,13,0,0,0.667,1.667,0.72,0.064,0.90
롯데,팀 합계,,,35,31,2,6,0,2,4,0,7,10,7,146,2,13,0.194,0.512,1.64,-0.288,-4.85
LG,1,홍창기,RF,4,4,1,1,0,0,0,0,1,2,0,22,0,0,0.429,1.127,0.50,0.023,-0.09
LG,,문정빈,"PH,1B",1,1,1,1,1,2,0,0,0,0,0,4,0,0,0.500,2.500,0.01,0.001,1.91
LG,2,김현수,DH,4,4,0,0,0,0,0,0,2,0,2,17,0,1,0.125,0.375,0.51,-0.049,-2.06
LG,,문성주,"PH,DH",1,1,0,0,0,0,0,0,1,0,0,8,0,0,0.000,0.000,0.00,0.000,-0.08
LG,3,오스틴,1B,4,4,1,2,1,1,0,0,1,0,1,17,0,1,0.333,1.111,0.40,0.030,0.69
LG,,최승민,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,4,문보경,3B,4,3,1,2,1,2,1,0,0,1,0,11,0,0,0.500,1.806,0.43,0.189,2.68
LG,,신민재,"PR,2B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,2.000,0.07,0.001,0.48
LG,5,오지환,SS,4,4,0,0,0,0,0,0,1,1,2,18,0,3,0.333,1.000,0.36,-0.039,-1.80
LG,6,송찬의,LF,4,4,1,1,1,1,0,0,1,0,2,14,0,1,0.500,1.500,0.31,-0.004,-0.57
LG,,최원영,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,7,박동원,C,4,4,2,2,1,2,0,0,1,0,1,12,0,0,0.429,1.413,0.22,0.076,1.34
LG,,이주헌,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
LG,8,박해민,CF,4,3,1,2,0,0,1,0,0,0,1,18,0,0,0.500,1.125,0.20,0.004,0.09
LG,9,구본혁,"2B,3B",4,4,1,2,0,2,0,0,2,0,0,21,0,2,0.400,1.371,0.28,-0.021,1.33
LG,팀 합계,,,38,36,10,13,5,10,2,0,10,4,9,162,0,8,0.361,1.228,0.82,0.211,3.92
