날짜,원정,홈
250322,롯데,LG
250322,두산,SSG
250322,키움,삼성
250322,한화,KT
250322,NC,KIA
250323,NC,KIA
250323,한화,KT
250323,키움,삼성
250323,두산,SSG
250323,롯데,LG
250325,키움,KIA
250325,NC,삼성
250325,두산,KT
250325,롯데,SSG
250325,한화,LG
250326,한화,LG
250326,롯데,SSG
250326,두산,KT
250326,NC,삼성
250326,키움,KIA
250327,키움,KIA
250327,NC,삼성
250327,두산,KT
250327,롯데,SSG
250327,한화,LG
250328,삼성,두산
250328,SSG,키움
250328,KIA,한화
250328,KT,롯데
250328,LG,NC
250329,KIA,한화
250329,SSG,키움
250329,삼성,두산
250329,KT,롯데
250329,LG,NC
250330,삼성,두산
250330,SSG,키움
250330,KIA,한화
250330,KT,롯데
250330,LG,NC
250401,키움,두산
250401,SSG,NC
250401,LG,KT
250401,삼성,KIA
250401,롯데,한화
250402,롯데,한화
250402,삼성,KIA
250402,LG,KT
250402,SSG,NC
250402,키움,두산
250403,키움,두산
250403,SSG,NC
250403,LG,KT
250403,삼성,KIA
250403,롯데,한화
250404,NC,키움
250404,한화,삼성
250404,두산,롯데
250404,KT,SSG
250404,KIA,LG
250405,KIA,LG
250405,한화,삼성
250405,KT,SSG
250405,두산,롯데
250405,NC,키움
250406,NC,키움
250406,한화,삼성
250406,두산,롯데
250406,KT,SSG
250406,KIA,LG
250408,LG,키움
250408,NC,KT
250408,SSG,삼성
250408,KIA,롯데
250408,한화,두산
250409,한화,두산
250409,KIA,롯데
250409,SSG,삼성
250409,NC,KT
250409,LG,키움
250410,LG,키움
250410,NC,KT
250410,SSG,삼성
250410,KIA,롯데
250410,한화,두산
250411,두산,LG
250411,롯데,NC
250411,삼성,KT
250411,SSG,KIA
250411,키움,한화
250412,키움,한화
250412,SSG,KIA
250412,삼성,KT
250412,롯데,NC
250412,두산,LG
250413,두산,LG
250413,롯데,NC
250413,삼성,KT
250413,SSG,KIA
250413,키움,한화
250415,KT,KIA
250415,두산,NC
250415,키움,롯데
250415,한화,SSG
250415,삼성,LG
250416,KT,KIA
250416,두산,NC
250416,키움,롯데
250416,한화,SSG
250416,삼성,LG
250417,삼성,LG
250417,한화,SSG
250417,키움,롯데
250417,두산,NC
250417,KT,KIA
250418,NC,한화
250418,KT,키움
250418,롯데,삼성
250418,LG,SSG
250418,KIA,두산
250419,NC,한화
250419,KT,키움
250419,롯데,삼성
250419,LG,SSG
250419,KIA,두산
250420,KIA,두산
250420,LG,SSG
250420,롯데,삼성
250420,KT,키움
250420,NC,한화
250422,두산,키움
250422,SSG,KT
250422,KIA,삼성
250422,한화,롯데
250422,NC,LG
250423,두산,키움
250423,SSG,KT
250423,KIA,삼성
250423,한화,롯데
250423,NC,LG
250424,NC,LG
250424,한화,롯데
250424,KIA,삼성
250424,SSG,KT
250424,두산,키움
250425,KT,한화
250425,LG,KIA
250425,삼성,NC
250425,키움,SSG
250425,롯데,두산
250426,KT,한화
250426,LG,KIA
250426,삼성,NC
250426,키움,SSG
250426,롯데,두산
250427,롯데,두산
250427,키움,SSG
250427,삼성,NC
250427,LG,KIA
250427,KT,한화
250429,LG,한화
250429,롯데,키움
250429,KIA,NC
250429,삼성,SSG
250429,KT,두산
250430,KT,두산
250430,삼성,SSG
250430,KIA,NC
250430,롯데,키움
250430,LG,한화
250501,KT,두산
250501,삼성,SSG
250501,KIA,NC
250501,롯데,키움
250501,LG,한화
250502,한화,KIA
250502,키움,KT
250502,두산,삼성
250502,NC,롯데
250502,SSG,LG
250503,SSG,LG
250503,NC,롯데
250503,두산,삼성
250503,키움,KT
250503,한화,KIA
250504,한화,KIA
250504,키움,KT
250504,두산,삼성
250504,NC,롯데
250504,SSG,LG
250505,LG,두산
250505,SSG,롯데
250505,KT,NC
250505,KIA,키움
250505,삼성,한화
250506,삼성,한화
250506,KIA,키움
250506,KT,NC
250506,SSG,롯데
250506,LG,두산
250507,삼성,한화
250507,KIA,키움
250507,KT,NC
250507,SSG,롯데
250507,LG,두산
250509,NC,두산
250509,KIA,SSG
250509,LG,삼성
250509,롯데,KT
250509,한화,키움
250510,한화,키움
250510,롯데,KT
250510,LG,삼성
250510,KIA,SSG
250510,NC,두산
250511,NC,두산
250511,KIA,SSG
250511,LG,삼성
250511,롯데,KT
250511,한화,키움
250513,두산,한화
250513,롯데,KIA
250513,KT,삼성
250513,NC,SSG
250513,키움,LG
250514,키움,LG
250514,NC,SSG
250514,KT,삼성
250514,롯데,KIA
250514,두산,한화
250515,두산,한화
250515,롯데,KIA
250515,KT,삼성
250515,NC,SSG
250515,키움,LG
250516,SSG,한화
250516,두산,KIA
250516,키움,NC
250516,삼성,롯데
250516,KT,LG
250517,KT,LG
250517,삼성,롯데
250517,키움,NC
250517,두산,KIA
250517,SSG,한화
250518,SSG,한화
250518,두산,KIA
250518,키움,NC
250518,삼성,롯데
250518,KT,LG
250520,SSG,두산
250520,LG,롯데
250520,한화,NC
250520,KIA,KT
250520,삼성,키움
250521,삼성,키움
250521,KIA,KT
250521,한화,NC
250521,LG,롯데
250521,SSG,두산
250522,SSG,두산
250522,LG,롯데
250522,한화,NC
250522,KIA,KT
250522,삼성,키움
250523,롯데,한화
250523,KT,키움
250523,KIA,삼성
250523,LG,SSG
250523,NC,두산
250524,롯데,한화
250524,KT,키움
250524,KIA,삼성
250524,LG,SSG
250524,NC,두산
250525,NC,두산
250525,LG,SSG
250525,KIA,삼성
250525,KT,키움
250525,롯데,한화
250527,키움,KIA
250527,두산,KT
250527,롯데,삼성
250527,NC,SSG
250527,한화,LG
250528,키움,KIA
250528,두산,KT
250528,롯데,삼성
250528,NC,SSG
250528,한화,LG
250529,한화,LG
250529,NC,SSG
250529,롯데,삼성
250529,두산,KT
250529,키움,KIA
250530,두산,키움
250530,KIA,KT
250530,한화,NC
250530,SSG,롯데
250530,삼성,LG
250531,삼성,LG
250531,SSG,롯데
250531,한화,NC
250531,KIA,KT
250531,두산,키움
250601,두산,키움
250601,삼성,LG
250601,SSG,롯데
250601,한화,NC
250601,KIA,KT
250603,KT,한화
250603,LG,NC
250603,키움,롯데
250603,삼성,SSG
250603,KIA,두산
250604,KIA,두산
250604,삼성,SSG
250604,키움,롯데
250604,LG,NC
250604,KT,한화
250605,KT,한화
250605,LG,NC
250605,키움,롯데
250605,삼성,SSG
250605,KIA,두산
250606,롯데,두산
250606,NC,삼성
250606,SSG,KT
250606,한화,KIA
250606,LG,키움
250607,LG,키움
250607,한화,KIA
250607,SSG,KT
250607,NC,삼성
250607,롯데,두산
250608,LG,키움
250608,한화,KIA
250608,SSG,KT
250608,NC,삼성
250608,롯데,두산
250610,SSG,LG
250610,롯데,KT
250610,삼성,KIA
250610,NC,키움
250610,두산,한화
250611,두산,한화
250611,NC,키움
250611,삼성,KIA
250611,롯데,KT
250611,SSG,LG
250612,두산,한화
250612,NC,키움
250612,삼성,KIA
250612,롯데,KT
250612,SSG,LG
250613,키움,두산
250613,롯데,SSG
250613,KT,삼성
250613,KIA,NC
250613,LG,한화
250614,LG,한화
250614,KIA,NC
250614,KT,삼성
250614,롯데,SSG
250614,키움,두산
250615,LG,한화
250615,KIA,NC
250615,KT,삼성
250615,롯데,SSG
250615,키움,두산
250617,NC,LG
250617,한화,롯데
250617,두산,삼성
250617,KT,KIA
250617,SSG,키움
250618,SSG,키움
250618,KT,KIA
250618,두산,삼성
250618,한화,롯데
250618,NC,LG
250619,SSG,키움
250619,KT,KIA
250619,두산,삼성
250619,한화,롯데
250619,NC,LG
250620,두산,LG
250620,KIA,SSG
250620,삼성,롯데
250620,NC,KT
250620,키움,한화
250621,키움,한화
250621,NC,KT
250621,삼성,롯데
250621,KIA,SSG
250621,두산,LG
250622,키움,한화
250622,NC,KT
250622,삼성,롯데
250622,KIA,SSG
250622,두산,LG
250624,SSG,두산
250624,한화,삼성
250624,롯데,NC
250624,LG,KT
250624,KIA,키움
250625,KIA,키움
250625,LG,KT
250625,롯데,NC
250625,한화,삼성
250625,SSG,두산
250626,KIA,키움
250626,LG,KT
250626,롯데,NC
250626,한화,삼성
250626,SSG,두산
250627,KIA,LG
250627,한화,SSG
250627,KT,롯데
250627,두산,NC
250627,삼성,키움
250628,삼성,키움
250628,두산,NC
250628,KT,롯데
250628,한화,SSG
250628,KIA,LG
250629,삼성,키움
250629,KIA,LG
250629,한화,SSG
250629,KT,롯데
250629,두산,NC
250701,삼성,두산
250701,LG,롯데
250701,키움,KT
250701,SSG,KIA
250701,NC,한화
250702,NC,한화
250702,SSG,KIA
250702,키움,KT
250702,LG,롯데
250702,삼성,두산
250703,NC,한화
250703,SSG,KIA
250703,키움,KT
250703,LG,롯데
250703,삼성,두산
250704,KT,두산
250704,LG,삼성
250704,SSG,NC
250704,롯데,KIA
250704,한화,키움
250705,한화,키움
250705,롯데,KIA
250705,SSG,NC
250705,LG,삼성
250705,KT,두산
250706,한화,키움
250706,롯데,KIA
250706,SSG,NC
250706,LG,삼성
250706,KT,두산
250708,키움,LG
250708,KT,SSG
