등번호,이름
0,김건형
1,고영표
2,박민석
3,로하스
4,오윤석
5,강민성
7,김상수
8,안치영
9,김철호
10,황재균
12,우규민
13,허경민
14,천성호
15,성재헌
16,최동환
17,이채호
18,문용익
20,김태오
21,이정현
22,장성우
23,안현민
24,문상철
25,문상준
26,김민수
27,배정대
28,송민섭
29,전용주
30,소형준
31,최성민
32,쿠에바스
33,박세진
34,이호연
35,윤준혁
36,오재일
37,이상동
38,주권
39,지명성
40,김동현
41,손동현
42,조대현
43,김재원
44,김준태
45,이태규
46,박건우
47,오원석
48,이상우
49,이현민
50,강백호
51,장진혁
52,권동진
53,김민혁
54,조이현
55,강현우
56,장준원
57,김병준
58,박태완
59,한차현
60,박영현
61,이선우
62,신범준
63,원상현
64,육청명
65,헤이수스
66,이종혁
67,유준규
68,신호준
90,이승언
92,최용준
93,한지웅
94,우종휘
95,이준명
96,이승현
97,김민석
98,김주완
99,강건
100,최동희
101,유호식
102,박준혁
103,이정환
104,박민석
105,오서진
106,이용현
107,윤상인
108,정영웅
109,이승준
110,장민호
111,정운교
115,권성준
