등번호,이름
00,이한림
0,김유영
,장현식
1,임찬규
2,문보경
3,최원영
4,신민재
5,김주성
6,구본혁
7,이영빈
8,문성주
10,오지환
11,함덕주
12,김대현
13,송승기
14,송찬의
15,안익훈
16,김민수
17,박해민
18,정우영
20,우강훈
21,이우찬
22,김현수
23,오스틴
24,함창건
25,배재준
26,이주헌
27,박동원
28,심창민
29,손주영
30,에르난데스
32,이지강
34,성동현
35,김영준
36,김성진
37,김강률
39,박명근
40,이종준
42,김진성
43,허용주
44,김성우
45,김진수
46,치리노스
48,진우영
49,정지헌
51,홍창기
53,문정빈
54,유영찬
55,김범석
56,최채흥
57,김주온
58,허준혁
59,임준형
60,서영준
61,백승현
62,최승민
63,추세현
64,박관우
65,이태훈
66,김현종
67,김영우
103,김수인
106,박민호
107,김도윤
108,심규빈
109,안시후
110,우정안
113,손용준
114,백선기
116,고영웅
118,성준서
121,박시원
122,김종운
123,박건우
128,전경원
129,김웅
