등번호,이름,포지션
0,김건형,야수
1,고영표,투수
2,박민석,야수
3,로하스,야수
4,오윤석,야수
5,강민성,야수
7,김상수,야수
8,안치영,야수
10,황재균,야수
12,우규민,투수
13,허경민,야수
14,천성호,야수
15,성재헌,투수
16,최동환,투수
17,이채호,투수
18,문용익,투수
21,이정현,투수
22,장성우,야수
23,안현민,야수
24,문상철,야수
26,김민수,투수
27,배정대,야수
28,송민섭,야수
29,전용주,투수
30,소형준,투수
32,쿠에바스,투수
33,박세진,투수
34,이호연,야수
35,윤준혁,야수
36,오재일,야수
37,이상동,투수
38,주권,투수
40,김동현,투수
41,손동현,투수
42,조대현,야수
43,김재원,투수
44,김준태,야수
45,이태규,투수
46,박건우,투수
47,오원석,투수
49,이현민,투수
50,강백호,야수
51,장진혁,야수
52,권동진,야수
53,김민혁,야수
54,조이현,투수
55,강현우,야수
56,장준원,야수
57,김병준,야수
59,한차현,투수
60,박영현,투수
61,이선우,투수
63,원상현,투수
64,육청명,투수
65,헤이수스,투수
97,김민석,야수
98,김주완,투수
99,강건,투수
101,유호식,투수
102,박준혁,투수
103,이정환,투수
104,박민석,야수
105,오서진,야수
106,이용현,야수
107,윤상인,투수
108,정영웅,야수
109,이승준,야수
110,장민호,투수
111,정운교,투수
