등번호,이름,포지션
0,김유영,투수
00,이한림,야수
1,임찬규,투수
2,문보경,야수
3,최원영,야수
4,신민재,야수
5,김주성,야수
6,구본혁,야수
7,이영빈,야수
8,문성주,야수
10,오지환,야수
11,함덕주,투수
12,김대현,투수
14,송찬의,야수
15,안익훈,야수
16,김민수,야수
17,박해민,야수
18,정우영,투수
20,우강훈,투수
21,이우찬,투수
22,김현수,야수
23,오스틴,야수
24,함창건,야수
25,배재준,투수
26,이주헌,야수
26,이상영,투수
27,박동원,야수
28,심창민,투수
29,손주영,투수
30,에르난데스,투수
32,이지강,투수
34,성동현,투수
35,김영준,투수
36,김성진,야수
37,김강률,투수
39,박명근,투수
40,이종준,투수
42,김진성,투수
44,김성우,야수
45,김진수,투수
46,치리노스,투수
48,진우영,투수
49,정지헌,투수
50,장현식,투수
51,홍창기,야수
54,유영찬,투수
55,김범석,야수
56,최채흥,투수
57,김주온,투수
59,임준형,투수
60,서영준,야수
61,백승현,투수
62,최승민,야수
63,추세현,투수
64,김대원,야수
64,박관우,야수
65,이태훈,야수
66,김현종,야수
67,김영우,투수
