등번호,이름,포지션
1,안중열,야수
2,박민우,야수
5,서호철,야수
7,김주원,야수
8,송승환,야수
9,김세훈,야수
10,박세혁,야수
12,로건,투수
14,최정원,야수
15,김태현,투수
16,도태훈,야수
17,김영규,투수
18,신민혁,투수
19,김휘건,투수
20,목지훈,투수
21,김시훈,투수
23,천재환,야수
24,데이비슨,야수
25,김형준,야수
26,최성영,투수
28,임상현,투수
31,손아섭,야수
32,김재열,투수
33,한석현,야수
34,오영수,야수
35,한재환,야수
36,권희동,야수
37,박건우,야수
39,박영빈,야수
41,류진욱,투수
42,신용석,야수
43,신영우,투수
44,김휘집,야수
46,손주환,투수
47,전루건,투수
48,최우석,투수
50,소이현,투수
51,이재학,투수
53,박시원,야수
54,김진호,투수
55,한재승,투수
57,전사민,투수
58,서의태,투수
60,박한결,야수
61,배재환,투수
63,김민규,투수
66,김범준,야수
67,박주현,투수
68,김한별,야수
93,장창훈,야수
95,김태훈,투수
96,홍재문,투수
97,이세민,투수
102,김녹원,투수
103,김동현,야수
104,김민균,투수
107,김진우,투수
113,박주찬,야수
117,신민우,야수
120,양가온솔,야수
124,임형원,투수
125,유재현,야수
126,정현창,야수
127,조창연,야수
130,최보성,야수
131,최윤혁,투수
132,홍유원,투수
