등번호,이름,포지션
0,박성빈,투수
1,박지환,야수
01,한지헌,투수
2,박성한,야수
02,도재현,투수
3,정준재,야수
4,김수윤,야수
5,김찬형,야수
6,김성현,야수
7,최준우,야수
8,현원회,야수
9,이승민,야수
10,안상현,야수
11,백승건,투수
12,박대온,야수
13,하재훈,야수
14,최정,야수
15,채현우,야수
16,이건욱,투수
18,고명준,야수
19,조병현,투수
20,조형우,야수
21,장지훈,투수
22,서진용,투수
23,최상민,야수
24,김민식,야수
25,신범수,야수
27,에레디아,야수
28,송영진,투수
29,김광현,투수
30,최민준,투수
31,이정범,야수
32,이율예,야수
33,앤더슨,투수
34,한두솔,투수
35,한유섬,야수
37,오태곤,야수
38,노경은,투수
39,김건우,투수
40,최현석,투수
41,김민,투수
41,김민,투수
42,문승원,투수
43,김택형,투수
45,류효승,야수
47,정현승,야수
49,신헌민,투수
50,박종훈,투수
51,정동윤,투수
53,최민창,야수
54,최지훈,야수
55,화이트,투수
56,김성민,야수
57,박시후,투수
59,이지영,야수
60,신지환,투수
64,김창평,야수
66,박기호,투수
90,천범석,투수
92,이로운,투수
93,이원준,야수
94,최윤석,야수
95,김현재,투수
96,이도우,투수
97,홍대인,야수
