등번호,이름,포지션
0,황성빈,야수
1,한현희,투수
2,고승민,야수
3,신윤후,야수
6,손성빈,야수
7,장두성,야수
8,전준우,야수
9,정훈,야수
12,신병률,투수
13,전민재,야수
13,전민재,야수
14,최항,야수
15,김진욱,투수
16,김민성,야수
17,현도훈,투수
18,정성종,투수
19,김강현,투수
21,박세웅,투수
22,구승민,투수
23,심재민,투수
24,김상수,투수
25,박시영,투수
26,진승현,투수
27,유강남,야수
28,반즈,투수
29,레이예스,야수
30,이호준,야수
31,진해수,투수
33,손호영,야수
34,김원중,투수
35,서동욱,야수
36,데이비슨,투수
37,이민석,투수
38,홍민기,투수
39,강승구,야수
40,박진형,투수
42,정보근,야수
43,나균안,투수
44,박진,투수
46,정우준,투수
48,이정훈,야수
49,최이준,투수
50,김동혁,야수
51,나승엽,야수
52,노진혁,야수
53,박승욱,야수
54,이인한,야수
55,윤성빈,투수
56,최준용,투수
57,정현수,투수
58,박준우,투수
59,송재영,투수
62,백두산,야수
63,박재엽,야수
65,정철원,투수
65,정철원,투수
66,김태현,투수
67,강성우,야수
68,박세현,투수
91,윤동희,야수
101,김현우,투수
102,김동현,야수
103,이영재,투수
105,조영우,투수
105,최민규,야수
106,한승현,야수
107,김태균,투수
108,박지훈,야수
109,박건우,야수
111,이태경,야수
112,유태웅,야수
113,이상화,야수
114,오창현,야수
115,정선우,투수
116,이주찬,야수
124,김도규,투수
