등번호,이름,포지션
0,디아즈,야수
1,이호성,투수
2,김재성,야수
3,최원태,투수
4,육선엽,투수
5,구자욱,야수
6,강한울,야수
7,이재현,야수
8,김재혁,야수
9,공민규,야수
11,최지광,투수
12,김민수,야수
13,이성규,야수
14,안주형,야수
15,이상민,투수
17,김대우,투수
18,원태인,투수
19,양현,투수
20,이승현,투수
21,오승환,투수
23,이병헌,야수
24,김도환,야수
25,김태훈,야수
25,김태훈,투수
26,이재익,투수
28,이승민,투수
29,백정현,투수
30,김영웅,야수
31,윤정빈,야수
32,김헌곤,야수
34,전병우,야수
37,최하늘,투수
39,김성윤,야수
40,함수호,야수
41,권현우,투수
43,레예스,투수
44,김대호,투수
45,임창민,투수
46,송은범,투수
47,강민호,야수
48,김윤수,투수
50,이창용,야수
51,최충연,투수
52,박병호,야수
53,양우현,야수
54,최성훈,투수
55,배찬승,투수
57,이승현,투수
58,김지찬,야수
60,김호진,야수
61,황동재,투수
62,김재윤,투수
63,홍현빈,야수
65,홍원표,투수
68,양도근,야수
75,후라도,투수
