등번호,이름,포지션
1,문동주,투수
2,심우준,야수
2,심우준,야수
3,안치홍,야수
4,조한민,야수
5,윤대경,투수
6,한경빈,야수
7,이도윤,야수
8,노시환,야수
9,이상혁,야수
10,이진영,야수
11,엄상백,투수
11,엄상백,투수
12,허관회,야수
13,최재훈,야수
14,김승일,투수
15,김기중,투수
17,권광민,야수
18,이상규,투수
19,이충호,투수
20,이재원,야수
22,채은성,야수
24,임종찬,야수
25,김태연,야수
26,한승혁,투수
27,이민우,투수
28,장시환,투수
29,황준서,투수
30,폰세,투수
31,정이황,투수
32,장규현,야수
33,유로결,야수
34,플로리얼,야수
36,장민재,투수
37,김인환,야수
40,장지수,투수
41,최인호,야수
42,박상언,야수
43,정우주,투수
44,김서현,투수
45,배민서,투수
46,이태양,투수
47,김범수,투수
50,이원석,야수
51,문현빈,야수
53,김민우,투수
55,와이스,투수
56,김건,야수
57,성지훈,투수
58,박상원,투수
60,김규연,투수
62,김도빈,투수
64,권민규,투수
66,주현상,투수
67,한지윤,야수
68,조동욱,투수
95,황영묵,야수
98,배승수,야수
99,류현진,투수
104,이동영,투수
105,박상현,투수
106,이지성,야수
107,엄상현,투수
108,엄요셉,투수
109,최주원,투수
110,이민재,야수
111,박부성,투수
112,이승현,야수
113,정안석,야수
