등번호,이름
1,문동주
2,심우준
3,안치홍
4,조한민
5,윤대경
6,한경빈
7,이도윤
8,노시환
9,이상혁
10,이진영
11,엄상백
12,허관회
13,최재훈
14,김승일
15,김기중
16,하주석
17,권광민
18,이상규
20,이재원
22,채은성
24,임종찬
25,김태연
26,한승혁
27,이민우
28,장시환
29,황준서
30,폰세
31,정이황
32,장규현
33,유로결
34,플로리얼
36,장민재
37,김인환
38,김종수
39,안진
40,장지수
41,최인호
42,박상언
43,정우주
44,김서현
45,배민서
46,이태양
47,김범수
48,원종혁
50,이원석
51,문현빈
53,김민우
54,송호정
55,와이스
56,김건
57,성지훈
58,박상원
59,허인서
60,김규연
61,배동현
62,김도빈
64,권민규
65,정민규
66,주현상
67,한지윤
68,조동욱
69,신우재
93,이성민
94,최준서
95,황영묵
96,문승진
97,유민
98,배승수
99,류현진
100,이기창
104,이동영
105,박상현
106,이지성
107,엄상현
108,엄요셉
109,최주원
110,이민재
111,박부성
112,이승현
